ensg,symbol,HVG_rank,HVG_normrank,HVG_normscore,DE_Immune_rank,DE_Immune_normrank,DE_Immune_normscore,DE_Malignant_rank,DE_Malignant_normrank,DE_Malignant_normscore,SpaPROS_rank,SpaPROS_normrank,SpaPROS_normscore,scGeneFit_rank,scGeneFit_normrank,scGeneFit_normscore,RF_celltype_rank,RF_celltype_normrank,RF_celltype_normscore,RF_malignant_rank,RF_malignant_normrank,RF_malignant_normscore,n_methods,mean_normrank,mean_normscore,aggregate_score
ENSG00000099812,ENSG00000099812,,,,,,,6747.0,0.41899922487296526,0.07044018608954447,,,,,,,,,,,,,1,0.41899922487296526,0.07044018608954447,2.4894394109625093
ENSG00000108559,ENSG00000108559,,,,,,,6748.0,0.4189130996468866,0.07043267865321118,,,,,,,,,,,,,1,0.4189130996468866,0.07043267865321118,2.489345778300098
ENSG00000171863,ENSG00000171863,,,,,,,6749.0,0.41882697442080785,0.07042124522662145,,,,,,,,,,,,,1,0.41882697442080785,0.07042124522662145,2.489248219647429
ENSG00000145982,ENSG00000145982,,,,,,,6750.0,0.4187408491947291,0.07040322919281196,,,,,,,,,,,,,1,0.4187408491947291,0.07040322919281196,2.4891440783875414
ENSG00000214787,ENSG00000214787,,,,2466.0,0.4595483446612585,0.02958102501763794,,,,,,,,,,,,,,,,1,0.4595483446612585,0.02958102501763794,2.4891293696788965
ENSG00000107625,ENSG00000107625,,,,,,,6751.0,0.41865472396865044,0.07039765755075061,,,,,,,,,,,,,1,0.41865472396865044,0.07039765755075061,2.489052381519401
ENSG00000224051,ENSG00000224051,,,,,,,6752.0,0.4185685987425717,0.07038421579427222,,,,,,,,,,,,,1,0.4185685987425717,0.07038421579427222,2.4889528145368436
ENSG00000174939,ENSG00000174939,,,,,,,6753.0,0.4184824735164929,0.07037883909168086,,,,,,,,,,,,,1,0.4184824735164929,0.07037883909168086,2.4888613126081736
ENSG00000173846,ENSG00000173846,,,,2521.0,0.4474895856171892,0.04122006026864745,,,,,,,,,,,,,,,,1,0.4474895856171892,0.04122006026864745,2.488709645885837
ENSG00000165512,ENSG00000165512,,,,,,,6755.0,0.4183102230643355,0.0703682851594442,,,,,,,,,,,,,1,0.4183102230643355,0.0703682851594442,2.4886785082237797
