gene,rank_in_group,scores,log2fc,n_groups,agg_rank,symbol
ENSG00000106803,4692.0,12.103055,6.8361006,1,4690.789694547653,ENSG00000106803
ENSG00000128789,4693.0,12.100512,4.2675676,1,4691.789948821068,ENSG00000128789
ENSG00000128849,4694.0,12.095335,2.7075462,1,4692.790466547012,ENSG00000128849
ENSG00000123595,4695.0,12.094923,3.2345595,1,4693.790507674217,ENSG00000123595
ENSG00000146833,4696.0,12.093625,3.9096582,1,4694.7906374931335,ENSG00000146833
ENSG00000105127,4697.0,12.092548,2.084914,1,4695.790745139122,ENSG00000105127
ENSG00000138942,4698.0,12.092375,4.36291,1,4696.790762543678,ENSG00000138942
ENSG00000071564,4699.0,12.088702,2.9583273,1,4697.791129827499,ENSG00000071564
ENSG00000117411,4700.0,12.087768,4.0307956,1,4698.791223287582,ENSG00000117411
ENSG00000122126,4701.0,12.086289,4.3212686,1,4699.791371107101,ENSG00000122126
ENSG00000165804,4702.0,12.083807,3.445654,1,4700.791619300842,ENSG00000165804
ENSG00000174428,4703.0,12.083347,2.9989974,1,4701.791665315628,ENSG00000174428
ENSG00000163161,4704.0,12.076335,3.3566287,1,4702.792366504669,ENSG00000163161
ENSG00000120733,4705.0,12.072609,1.696052,1,4703.792739152908,ENSG00000120733
ENSG00000184857,4706.0,12.069587,3.4304395,1,4704.793041348457,ENSG00000184857
ENSG00000157823,4707.0,12.0690155,4.030965,1,4705.793098449707,ENSG00000157823
ENSG00000124786,4708.0,12.068065,3.5381413,1,4706.79319357872,ENSG00000124786
ENSG00000114346,4709.0,12.063501,3.5216753,1,4707.7936499118805,ENSG00000114346
ENSG00000128564,4710.0,12.059918,9.510205,1,4708.794008135796,ENSG00000128564
ENSG00000178074,4711.0,12.059354,1.92836,1,4709.794064640999,ENSG00000178074
ENSG00000154845,4712.0,12.059204,2.9268613,1,4710.79407954216,ENSG00000154845
ENSG00000103160,4713.0,12.057432,3.9952145,1,4711.794256806374,ENSG00000103160
ENSG00000121067,4714.0,12.057343,3.4089382,1,4712.79426574707,ENSG00000121067
ENSG00000141646,4715.0,12.056645,3.0472248,1,4713.794335484505,ENSG00000141646
ENSG00000155229,4716.0,12.053341,4.08891,1,4714.794665932655,ENSG00000155229
ENSG00000196363,4717.0,12.049771,3.2398515,1,4715.795022845268,ENSG00000196363
