gene,rank_in_group,scores,log2fc,n_groups,agg_rank,symbol
ENSG00000233276,39.0,26.984007,25.138441,3,36.3015992641449,GPX1
ENSG00000211592,42.0,27.572807,254.06433,3,39.2427191734314,IGKC
ENSG00000166920,44.0,23.642096,24.546618,3,41.63579034805298,C15orf48
ENSG00000100234,47.66666666666666,39.045605,9.337246,3,43.76210610071818,TIMP3
ENSG00000172243,47.66666666666666,21.455626,78.526344,3,45.52110401789347,ENSG00000172243
ENSG00000077585,62.333333333333336,12.013748,6.336378,3,61.13195856412252,ENSG00000077585
ENSG00000182578,68.66666666666667,20.912964,137.31136,3,66.5753702322642,CSF1R
ENSG00000107438,71.0,20.576479,4.1865783,3,68.9423520565033,ENSG00000107438
ENSG00000127951,75.66666666666667,20.337053,54.138798,3,73.63296143213908,ENSG00000127951
ENSG00000120708,76.33333333333333,20.82108,71.66305,3,74.25122531255086,ENSG00000120708
ENSG00000086730,79.0,18.14096,56.831696,3,77.1859039068222,ENSG00000086730
ENSG00000170989,83.66666666666667,18.181677,2.787429,3,81.84849898020427,ENSG00000170989
ENSG00000108622,83.66666666666667,17.49575,3.2810056,3,81.91709164778392,ENSG00000108622
ENSG00000137393,84.0,12.690041,30.066385,3,82.7309958934784,ENSG00000137393
ENSG00000137502,84.66666666666667,11.931745,2.5266209,3,83.47349218527476,ENSG00000137502
ENSG00000187498,88.0,31.019598,10.553752,3,84.89804029464722,COL4A1
ENSG00000170458,88.33333333333333,22.40777,224.90569,3,86.0925563176473,CD14
ENSG00000011422,89.33333333333333,24.37263,198.19453,3,86.89607032140096,ENSG00000011422
ENSG00000131400,90.66666666666669,12.4947405,38.71901,3,89.41719261805217,ENSG00000131400
ENSG00000204482,96.0,28.61204,51.405384,3,93.13879609107973,LST1
ENSG00000164056,99.0,28.168608,7.1031513,3,96.18313932418825,ENSG00000164056
ENSG00000112769,99.33333333333331,30.097223,2.824625,3,96.32361110051473,ENSG00000112769
ENSG00000130775,100.0,13.451409,58.778843,3,98.65485906600952,ENSG00000130775
ENSG00000161281,101.66666666666669,29.479097,5.205751,3,98.71875683466594,ENSG00000161281
ENSG00000110079,101.0,17.793072,137.64601,3,99.2206928730011,MS4A4A
ENSG00000162407,102.0,27.251883,6.612599,3,99.27481174468994,ENSG00000162407
ENSG00000151012,101.66666666666669,12.06442,7.394076,3,100.46022466818492,ENSG00000151012
ENSG00000179583,102.66666666666669,12.981372,50.10973,3,101.36852947870892,ENSG00000179583
ENSG00000173559,102.66666666666669,11.720391,52.768784,3,101.49462751547496,ENSG00000173559
ENSG00000169242,105.33333333333331,13.023717,1.8510586,3,104.03096159299214,ENSG00000169242
ENSG00000166033,112.33333333333331,32.234325,5.2372923,3,109.10990079243976,ENSG00000166033
ENSG00000120833,113.0,13.960407,4.3927183,3,111.60395932197572,ENSG00000120833
ENSG00000130830,116.33333333333331,16.938005,47.510113,3,114.6395327647527,ENSG00000130830
ENSG00000125810,120.0,22.854074,8.759034,3,117.71459245681764,CD93
ENSG00000173482,120.66666666666669,13.277247,1.1826602,3,119.33894197146098,ENSG00000173482
ENSG00000118515,121.0,11.819659,279.95218,3,119.81803405284882,ENSG00000118515
ENSG00000203747,122.66666666666669,21.367685,411.36472,3,120.52989808718364,FCGR3A
ENSG00000173372,124.33333333333331,25.062685,inf,3,121.8270648320516,C1QA
ENSG00000122986,124.33333333333331,15.18343,24.028044,3,122.81499036153156,ENSG00000122986
ENSG00000204291,126.0,28.288513,7.212374,3,123.17114877700806,COL15A1
ENSG00000116016,126.66666666666669,27.896841,6.232492,3,123.87698260943095,ENSG00000116016
ENSG00000112137,125.33333333333331,11.049531,13.452207,3,124.22838028271993,ENSG00000112137
ENSG00000155465,129.66666666666666,16.507038,56.520573,3,128.015962878863,ENSG00000155465
ENSG00000197405,131.0,15.596451,50.347656,3,129.44035494327545,ENSG00000197405
ENSG00000148671,133.66666666666666,24.185791,7.1930065,3,131.24808756510416,ADIRF
ENSG00000119535,133.66666666666666,14.523052,37.810734,3,132.2143614689509,ENSG00000119535
ENSG00000161642,136.0,15.114704,10.67837,3,134.4885295629501,ENSG00000161642
ENSG00000107281,136.66666666666666,20.250435,5.0779037,3,134.64162317911783,ENSG00000107281
ENSG00000150782,137.66666666666666,16.43763,44.63463,3,136.0229037205378,ENSG00000150782
ENSG00000072163,138.0,14.436744,4.6549177,3,136.556325674057,ENSG00000072163
ENSG00000127528,139.66666666666666,12.311066,4.094213,3,138.43556014696756,ENSG00000127528
ENSG00000018280,141.33333333333334,16.945086,37.86987,3,139.63882478078207,SLC11A1
