tissue	cell_type	n
skin of scalp	plasmacytoid dendritic cell, human	0
skin of scalp	malignant cell	0
skin of scalp	T follicular helper cell	2712
skin of scalp	epithelial cell of thymus	0
skin of scalp	unknown	0
skin of calf	fibroblast	0
skin of calf	T cell	0
skin of calf	mast cell	0
skin of calf	endothelial cell	0
skin of calf	microglial cell	0
skin of calf	melanocyte	0
skin of calf	myofibroblast cell	0
skin of calf	macrophage	0
skin of calf	B cell	0
skin of calf	dendritic cell	0
skin of calf	lymphocyte	0
skin of calf	monocyte	0
skin of calf	CD4-positive, alpha-beta T cell	120
skin of calf	CD8-positive, alpha-beta T cell	0
skin of calf	myeloid cell	0
skin of calf	plasma cell	0
skin of calf	mature NK T cell	0
skin of calf	regulatory T cell	347
skin of calf	hematopoietic multipotent progenitor cell	0
skin of calf	naive T cell	632
skin of calf	T-helper 17 cell	109
skin of calf	naive thymus-derived CD8-positive, alpha-beta T cell	2938
skin of calf	central memory CD8-positive, alpha-beta T cell	3827
skin of calf	CD8-positive, CD28-negative, alpha-beta regulatory T cell	2520
skin of calf	activated CD8-positive, alpha-beta T cell, human	111
skin of calf	effector CD8-positive, alpha-beta T cell	0
skin of calf	plasmacytoid dendritic cell, human	0
skin of calf	malignant cell	0
skin of calf	T follicular helper cell	357
skin of calf	epithelial cell of thymus	0
skin of calf	unknown	0
