gene,freq,mean_rank,score
ENSG00000214897,5,269.6,4.820266666666667
ENSG00000262406,5,269.8,4.820133333333334
ENSG00000197632,5,270.0,4.82
ENSG00000113905,5,270.8,4.819466666666667
ENSG00000081800,5,270.8,4.819466666666667
ENSG00000211861,5,272.2,4.818533333333333
ENSG00000211670,5,272.4,4.8184000000000005
ENSG00000106927,5,273.0,4.818
ENSG00000096006,5,274.6,4.816933333333333
ENSG00000169429,5,275.8,4.816133333333333
ENSG00000092009,5,276.4,4.815733333333333
ENSG00000211841,5,276.6,4.8156
ENSG00000130208,5,276.6,4.8156
ENSG00000008517,5,277.2,4.8152
ENSG00000127318,5,277.2,4.8152
ENSG00000146678,5,277.4,4.815066666666667
ENSG00000211644,5,280.4,4.813066666666667
ENSG00000224490,5,283.2,4.8112
ENSG00000253770,5,285.4,4.809733333333333
ENSG00000125538,5,285.6,4.8096
ENSG00000272734,5,287.6,4.8082666666666665
ENSG00000066813,5,288.8,4.8074666666666666
ENSG00000211625,5,291.0,4.806
ENSG00000090382,5,292.2,4.8052
ENSG00000108342,5,293.8,4.804133333333334
ENSG00000211821,5,294.2,4.803866666666667
ENSG00000211721,5,294.4,4.803733333333334
ENSG00000242860,5,296.4,4.8024000000000004
ENSG00000132465,5,297.0,4.802
ENSG00000244067,5,297.2,4.801866666666666
ENSG00000211648,5,298.8,4.8008
ENSG00000188257,5,299.4,4.8004
ENSG00000169469,5,300.4,4.799733333333333
ENSG00000169245,5,304.0,4.7973333333333334
ENSG00000227382,5,304.4,4.797066666666667
ENSG00000211659,5,304.4,4.797066666666667
ENSG00000285219,5,304.6,4.7969333333333335
ENSG00000236552,5,306.4,4.795733333333334
ENSG00000211660,5,306.6,4.7956
ENSG00000254346,5,310.8,4.7928
ENSG00000166426,5,311.0,4.792666666666666
ENSG00000242853,5,314.0,4.790666666666667
ENSG00000211845,5,315.2,4.789866666666667
ENSG00000165953,5,315.6,4.7896
ENSG00000283063,5,318.0,4.788
ENSG00000220517,5,318.4,4.787733333333334
ENSG00000257666,5,319.6,4.786933333333334
ENSG00000167800,5,322.2,4.7852
ENSG00000211716,5,322.2,4.7852
ENSG00000271288,5,326.4,4.7824
ENSG00000174957,5,328.6,4.7809333333333335
ENSG00000163586,5,330.0,4.78
ENSG00000223305,5,332.0,4.778666666666667
ENSG00000140287,5,334.6,4.776933333333333
ENSG00000211623,5,335.0,4.776666666666666
ENSG00000142089,5,335.2,4.776533333333333
ENSG00000142173,5,336.2,4.7758666666666665
ENSG00000167434,5,336.4,4.775733333333333
ENSG00000250591,5,337.0,4.775333333333333
ENSG00000253755,5,338.4,4.7744
ENSG00000152583,5,339.8,4.773466666666667
ENSG00000211666,5,341.0,4.772666666666667
ENSG00000149968,5,341.2,4.7725333333333335
ENSG00000106483,5,343.4,4.771066666666667
ENSG00000196754,5,344.4,4.7704
ENSG00000224607,5,345.4,4.769733333333333
ENSG00000139988,5,345.6,4.7696
ENSG00000100097,5,347.4,4.7684
ENSG00000254154,5,347.6,4.768266666666666
ENSG00000110799,5,347.6,4.768266666666666
ENSG00000278196,5,347.6,4.768266666666666
ENSG00000211653,5,349.8,4.7668
ENSG00000236992,5,350.6,4.766266666666667
ENSG00000211945,5,352.2,4.7652
ENSG00000240160,5,352.2,4.7652
ENSG00000165553,5,354.2,4.763866666666667
ENSG00000279897,5,354.4,4.763733333333334
ENSG00000112116,5,354.4,4.763733333333334
ENSG00000204542,5,355.8,4.7628
ENSG00000255151,5,356.4,4.7624
ENSG00000182492,5,356.8,4.762133333333333
ENSG00000125148,5,358.6,4.760933333333333
ENSG00000270479,5,360.6,4.7596
ENSG00000168685,5,361.4,4.759066666666667
ENSG00000211706,5,361.8,4.7588
ENSG00000239218,5,362.8,4.758133333333333
ENSG00000124102,5,364.0,4.757333333333333
ENSG00000273142,5,367.4,4.755066666666667
ENSG00000220377,5,373.2,4.7512
ENSG00000139648,5,373.6,4.750933333333333
ENSG00000064205,5,374.0,4.750666666666667
ENSG00000088340,5,374.6,4.750266666666667
ENSG00000198502,5,375.4,4.749733333333333
ENSG00000143546,5,376.2,4.7492
ENSG00000233603,5,376.2,4.7492
ENSG00000258613,5,376.6,4.7489333333333335
ENSG00000178372,5,377.0,4.748666666666667
ENSG00000237106,5,377.2,4.7485333333333335
ENSG00000130300,5,378.0,4.748
ENSG00000116031,5,380.2,4.746533333333334
ENSG00000183444,5,380.2,4.746533333333334
ENSG00000233732,5,380.8,4.746133333333333
ENSG00000106341,5,380.8,4.746133333333333
ENSG00000121966,5,384.4,4.743733333333333
ENSG00000213373,5,384.4,4.743733333333333
ENSG00000228232,5,386.0,4.742666666666667
ENSG00000276597,5,387.8,4.741466666666667
ENSG00000171557,5,388.4,4.741066666666667
ENSG00000211647,5,390.8,4.739466666666667
ENSG00000226660,5,391.0,4.739333333333334
ENSG00000112115,5,391.4,4.739066666666667
ENSG00000211728,5,393.0,4.7379999999999995
ENSG00000157766,5,394.2,4.7372
ENSG00000260048,5,394.4,4.737066666666666
ENSG00000167244,5,394.4,4.737066666666666
ENSG00000215878,5,394.4,4.737066666666666
ENSG00000252620,5,399.0,4.734
ENSG00000108688,5,400.8,4.7328
ENSG00000225920,5,401.4,4.7324
ENSG00000138207,5,401.6,4.732266666666667
ENSG00000272752,5,404.6,4.730266666666667
ENSG00000107317,5,406.0,4.729333333333333
ENSG00000237406,5,407.4,4.7284
ENSG00000267083,5,407.8,4.728133333333333
ENSG00000275132,5,409.4,4.7270666666666665
ENSG00000160862,5,409.6,4.726933333333333
ENSG00000145321,5,410.2,4.726533333333333
ENSG00000230099,5,410.6,4.726266666666667
ENSG00000213916,5,411.0,4.726
ENSG00000187783,5,411.4,4.725733333333333
ENSG00000235330,5,411.8,4.725466666666667
ENSG00000234068,5,412.0,4.725333333333333
ENSG00000186474,5,412.2,4.7252
ENSG00000158869,5,412.6,4.724933333333333
ENSG00000100453,5,414.8,4.723466666666667
ENSG00000233750,5,417.8,4.721466666666666
ENSG00000153822,5,418.4,4.721066666666666
ENSG00000242829,5,418.8,4.7208
ENSG00000145642,5,419.0,4.720666666666666
ENSG00000203435,5,419.0,4.720666666666666
ENSG00000225193,5,421.0,4.719333333333333
ENSG00000207501,5,422.0,4.718666666666667
ENSG00000184113,5,422.8,4.718133333333333
ENSG00000211459,5,423.0,4.718
ENSG00000241120,5,423.0,4.718
ENSG00000153563,5,428.4,4.7144
ENSG00000173110,5,430.6,4.712933333333333
ENSG00000186081,5,430.8,4.7128
ENSG00000173762,5,431.4,4.7124
ENSG00000133110,5,431.4,4.7124
ENSG00000211956,5,434.4,4.7104
ENSG00000163735,5,434.6,4.710266666666667
ENSG00000212743,5,436.4,4.709066666666667
ENSG00000255469,5,438.4,4.7077333333333335
ENSG00000213231,5,441.0,4.706
ENSG00000170454,5,444.4,4.703733333333333
ENSG00000148346,5,444.6,4.7036
ENSG00000138755,5,445.6,4.702933333333333
ENSG00000223416,5,446.4,4.7024
ENSG00000211817,5,451.2,4.6992
ENSG00000168333,5,451.4,4.699066666666667
ENSG00000179571,5,452.8,4.698133333333334
ENSG00000255974,5,453.4,4.697733333333334
ENSG00000216588,5,454.4,4.697066666666666
ENSG00000196154,5,454.6,4.696933333333333
ENSG00000230701,5,454.6,4.696933333333333
ENSG00000270986,5,455.0,4.696666666666666
ENSG00000210144,5,455.8,4.696133333333333
ENSG00000249840,5,456.6,4.6956
ENSG00000211679,5,457.6,4.694933333333333
ENSG00000113088,5,458.8,4.694133333333333
ENSG00000272645,5,459.0,4.694
ENSG00000185640,5,459.0,4.694
ENSG00000223525,5,459.0,4.694
ENSG00000141433,5,460.4,4.693066666666667
ENSG00000251046,5,460.8,4.6928
ENSG00000243560,5,461.8,4.6921333333333335
ENSG00000211677,5,463.0,4.691333333333334
ENSG00000129538,5,464.0,4.690666666666667
ENSG00000156076,5,464.2,4.690533333333334
ENSG00000262117,5,465.6,4.6896
ENSG00000117834,5,469.0,4.687333333333333
ENSG00000164266,5,469.2,4.6872
ENSG00000111404,5,470.2,4.686533333333333
ENSG00000096088,5,470.4,4.6864
ENSG00000176840,5,473.8,4.6841333333333335
ENSG00000115461,5,475.0,4.683333333333334
ENSG00000261649,5,475.2,4.6832
ENSG00000231365,5,477.4,4.681733333333334
ENSG00000211685,5,477.6,4.6815999999999995
ENSG00000211663,5,478.0,4.681333333333333
ENSG00000181195,5,479.6,4.680266666666666
ENSG00000198650,5,481.8,4.6788
ENSG00000104760,5,483.0,4.678
ENSG00000180988,5,484.8,4.6768
ENSG00000183036,5,487.2,4.6752
ENSG00000236804,5,489.4,4.673733333333334
ENSG00000183055,5,489.6,4.6736
ENSG00000223392,5,492.0,4.672
ENSG00000211673,5,492.8,4.671466666666666
ENSG00000198077,5,493.4,4.6710666666666665
ENSG00000160678,5,493.6,4.670933333333333
ENSG00000270670,5,494.8,4.670133333333333
ENSG00000267023,5,494.8,4.670133333333333
ENSG00000167656,5,495.0,4.67
ENSG00000260576,5,495.2,4.669866666666667
ENSG00000236577,5,495.8,4.669466666666667
ENSG00000244661,5,499.4,4.667066666666667
ENSG00000163734,5,501.4,4.665733333333334
ENSG00000269929,5,502.6,4.664933333333333
ENSG00000204628,5,504.0,4.664
ENSG00000228168,5,504.6,4.6636
ENSG00000100341,5,505.0,4.663333333333333
ENSG00000100721,5,505.2,4.6632
ENSG00000105205,5,506.6,4.662266666666667
ENSG00000172482,5,507.4,4.661733333333333
ENSG00000239221,5,507.6,4.6616
ENSG00000142871,5,509.8,4.6601333333333335
ENSG00000206172,5,510.6,4.6596
ENSG00000171346,5,510.6,4.6596
ENSG00000188536,5,510.6,4.6596
ENSG00000138109,5,512.2,4.658533333333334
ENSG00000196228,5,515.4,4.6564
ENSG00000142156,5,518.2,4.654533333333333
ENSG00000156738,5,519.4,4.653733333333333
ENSG00000166211,5,520.0,4.653333333333333
ENSG00000159251,5,520.2,4.6532
ENSG00000237238,5,521.4,4.6524
ENSG00000109072,5,521.4,4.6524
ENSG00000169442,5,523.0,4.6513333333333335
ENSG00000289746,5,523.0,4.6513333333333335
ENSG00000124107,5,523.6,4.650933333333334
ENSG00000124253,5,523.8,4.6508
ENSG00000271620,5,534.8,4.643466666666667
ENSG00000139219,5,535.0,4.6433333333333335
ENSG00000091583,5,537.8,4.641466666666667
ENSG00000225079,5,539.2,4.640533333333333
ENSG00000239223,5,539.4,4.6404
ENSG00000169194,5,540.4,4.639733333333333
ENSG00000101200,5,540.6,4.6396
ENSG00000161180,5,541.0,4.639333333333333
ENSG00000259374,5,541.2,4.6392
ENSG00000253957,5,542.8,4.638133333333333
ENSG00000235214,5,544.2,4.6372
ENSG00000145649,5,546.4,4.6357333333333335
ENSG00000223543,5,546.6,4.6356
ENSG00000241278,5,547.6,4.634933333333334
ENSG00000185633,5,550.2,4.6332
ENSG00000256134,5,550.4,4.633066666666666
ENSG00000108700,5,551.4,4.6324
ENSG00000180210,5,552.2,4.631866666666666
ENSG00000211713,5,552.8,4.631466666666666
ENSG00000206073,5,553.0,4.631333333333333
ENSG00000206579,5,555.4,4.629733333333333
ENSG00000242741,5,556.2,4.6292
ENSG00000120215,5,556.8,4.6288
ENSG00000113492,5,558.2,4.627866666666667
ENSG00000270264,5,558.6,4.6276
ENSG00000160307,5,559.0,4.6273333333333335
ENSG00000158050,5,560.6,4.626266666666667
ENSG00000164932,5,561.2,4.625866666666667
ENSG00000169509,5,561.8,4.625466666666667
ENSG00000091986,5,563.2,4.624533333333333
ENSG00000177476,5,564.0,4.624
ENSG00000225770,5,565.0,4.623333333333333
ENSG00000229018,5,566.8,4.622133333333333
ENSG00000231579,5,567.2,4.621866666666667
ENSG00000166670,5,567.2,4.621866666666667
ENSG00000272281,5,569.0,4.620666666666667
ENSG00000231169,5,570.2,4.619866666666667
ENSG00000272398,5,570.2,4.619866666666667
ENSG00000171223,5,572.4,4.6184
ENSG00000080166,5,573.6,4.6176
ENSG00000164434,5,579.0,4.614
ENSG00000237136,5,579.2,4.613866666666667
ENSG00000222057,5,582.2,4.611866666666667
ENSG00000238269,5,582.4,4.6117333333333335
ENSG00000254233,5,582.4,4.6117333333333335
ENSG00000228218,5,583.0,4.6113333333333335
ENSG00000010379,5,585.0,4.61
ENSG00000177173,5,585.4,4.609733333333334
ENSG00000202392,5,589.4,4.607066666666666
ENSG00000214760,5,591.0,4.606
ENSG00000242100,5,593.4,4.6044
ENSG00000163220,5,594.0,4.604
ENSG00000220749,5,594.6,4.6036
ENSG00000253291,5,595.6,4.6029333333333335
ENSG00000239269,5,596.4,4.6024
ENSG00000201221,5,596.4,4.6024
ENSG00000283314,5,596.4,4.6024
ENSG00000197641,5,596.6,4.602266666666667
ENSG00000259590,5,598.2,4.6012
ENSG00000167165,5,599.2,4.600533333333333
ENSG00000185885,5,599.2,4.600533333333333
ENSG00000223956,5,599.6,4.600266666666666
ENSG00000139352,5,600.8,4.599466666666666
ENSG00000253590,5,601.8,4.5988
ENSG00000197838,5,602.8,4.598133333333333
ENSG00000163017,5,603.8,4.597466666666667
ENSG00000241229,5,604.0,4.597333333333333
ENSG00000232373,5,604.8,4.5968
ENSG00000197421,5,605.4,4.5964
ENSG00000132855,5,605.8,4.596133333333333
ENSG00000211819,5,609.4,4.593733333333334
ENSG00000124875,5,609.8,4.593466666666667
ENSG00000263639,5,611.8,4.592133333333333
ENSG00000205358,5,615.8,4.589466666666667
ENSG00000230937,5,616.4,4.589066666666667
ENSG00000225693,5,616.6,4.588933333333333
ENSG00000261949,5,616.8,4.5888
ENSG00000256826,5,617.8,4.588133333333333
ENSG00000177822,5,618.4,4.587733333333333
ENSG00000251237,5,619.2,4.5872
ENSG00000172023,5,619.2,4.5872
ENSG00000228146,5,620.6,4.586266666666667
ENSG00000077984,5,625.0,4.583333333333333
ENSG00000122786,5,625.4,4.583066666666666
ENSG00000047457,5,626.2,4.582533333333333
ENSG00000263934,5,626.6,4.5822666666666665
ENSG00000256667,5,630.4,4.579733333333333
ENSG00000258640,5,630.4,4.579733333333333
ENSG00000111046,5,631.2,4.5792
ENSG00000211739,5,631.4,4.579066666666667
ENSG00000026025,5,632.8,4.578133333333334
ENSG00000186832,5,633.2,4.577866666666667
ENSG00000137673,5,633.2,4.577866666666667
ENSG00000229456,5,633.4,4.577733333333334
ENSG00000240616,5,634.4,4.577066666666667
ENSG00000266946,5,635.0,4.576666666666666
ENSG00000275014,5,635.8,4.576133333333333
ENSG00000186038,5,636.2,4.575866666666666
ENSG00000102265,5,637.0,4.575333333333333
ENSG00000233093,5,638.2,4.574533333333333
ENSG00000268471,5,639.0,4.574
ENSG00000214198,5,639.6,4.5736
ENSG00000233041,5,640.0,4.573333333333333
ENSG00000270863,5,640.4,4.573066666666667
ENSG00000007908,5,642.0,4.572
ENSG00000185479,5,642.8,4.571466666666667
ENSG00000108691,5,643.6,4.5709333333333335
ENSG00000106624,5,644.0,4.570666666666667
ENSG00000271710,5,645.2,4.569866666666667
ENSG00000211804,5,649.2,4.5672
ENSG00000250432,5,650.8,4.566133333333333
ENSG00000205426,5,652.2,4.5652
ENSG00000147231,5,652.4,4.565066666666667
ENSG00000261556,5,653.0,4.564666666666667
ENSG00000254876,5,653.4,4.5644
ENSG00000241458,5,655.0,4.5633333333333335
ENSG00000183395,5,655.6,4.5629333333333335
ENSG00000159516,5,658.6,4.560933333333334
ENSG00000268785,5,660.2,4.559866666666666
ENSG00000184068,5,661.0,4.559333333333333
ENSG00000244321,5,662.2,4.558533333333333
ENSG00000283698,5,662.6,4.5582666666666665
ENSG00000205279,5,662.6,4.5582666666666665
ENSG00000229384,5,663.2,4.5578666666666665
ENSG00000203804,5,665.0,4.556666666666667
ENSG00000233158,5,665.2,4.556533333333333
ENSG00000211800,5,666.0,4.556
ENSG00000166569,5,666.4,4.555733333333333
ENSG00000102837,5,667.4,4.555066666666667
ENSG00000241959,5,667.8,4.5548
ENSG00000233040,5,669.6,4.5536
ENSG00000148677,5,670.4,4.553066666666667
ENSG00000231625,5,671.8,4.552133333333334
ENSG00000241112,5,671.8,4.552133333333334
ENSG00000260452,5,673.0,4.551333333333333
ENSG00000101335,5,673.2,4.5512
ENSG00000211885,5,674.2,4.550533333333333
ENSG00000106538,5,677.4,4.5484
ENSG00000057149,5,678.4,4.547733333333333
ENSG00000201492,5,679.4,4.547066666666667
ENSG00000196616,5,681.0,4.546
ENSG00000269911,5,683.4,4.5443999999999996
ENSG00000253481,5,684.6,4.5436
ENSG00000215223,5,684.8,4.543466666666666
ENSG00000271178,5,685.2,4.5432
ENSG00000132703,5,685.4,4.543066666666666
ENSG00000239183,5,687.2,4.5418666666666665
ENSG00000211789,5,687.4,4.541733333333333
ENSG00000162753,5,689.2,4.540533333333333
ENSG00000228382,5,689.6,4.540266666666667
ENSG00000129437,5,691.4,4.539066666666667
ENSG00000236519,5,692.0,4.538666666666667
ENSG00000212961,5,692.2,4.5385333333333335
ENSG00000075388,5,694.0,4.537333333333334
ENSG00000211801,5,694.4,4.537066666666667
ENSG00000278416,5,696.0,4.536
ENSG00000133048,5,696.4,4.535733333333333
ENSG00000177984,5,699.0,4.534
ENSG00000217643,5,700.6,4.532933333333333
ENSG00000130234,5,702.4,4.531733333333333
ENSG00000240583,5,704.8,4.530133333333334
ENSG00000126233,5,705.0,4.53
ENSG00000253188,5,705.6,4.5296
