gene,freq,mean_rank,score,symbol
ENSG00000240423,3,1302.0,2.132,LINC00636
ENSG00000228782,3,1302.3333333333333,2.1317777777777778,ENSG00000228782
ENSG00000224707,3,1312.6666666666667,2.124888888888889,E2F3-IT1
ENSG00000007216,3,1321.0,2.119333333333333,SLC13A2
ENSG00000254215,3,1321.3333333333333,2.119111111111111,IGHVIII-11-1
ENSG00000214264,3,1325.6666666666667,2.1162222222222224,KCTD9P4
ENSG00000256151,3,1326.6666666666667,2.1155555555555554,ADGRD1-AS1
ENSG00000184612,3,1328.6666666666667,2.1142222222222222,RPL7P26
ENSG00000182346,3,1329.3333333333333,2.113777777777778,DAOA
ENSG00000224854,3,1329.3333333333333,2.113777777777778,CDKN2A-DT
ENSG00000211768,3,1331.6666666666667,2.112222222222222,TRBJ2-4
ENSG00000237170,3,1333.6666666666667,2.110888888888889,RPS7P15
ENSG00000178130,3,1336.0,2.1093333333333333,FAM27E5
ENSG00000234028,3,1336.3333333333333,2.109111111111111,EIF2AK3-DT
ENSG00000124097,3,1339.3333333333333,2.107111111111111,HMGB1P1
ENSG00000197444,3,1346.0,2.102666666666667,OGDHL
ENSG00000114113,3,1357.6666666666667,2.094888888888889,RBP2
ENSG00000260265,3,1362.3333333333333,2.0917777777777777,LINC02562
ENSG00000237135,3,1363.6666666666667,2.090888888888889,DDX10P1
ENSG00000170927,3,1375.0,2.083333333333333,PKHD1
ENSG00000241119,3,1375.3333333333333,2.083111111111111,UGT1A9
ENSG00000168348,3,1375.3333333333333,2.083111111111111,INSM2
ENSG00000137440,3,1386.0,2.076,FGFBP1
ENSG00000178429,3,1391.0,2.0726666666666667,RPS3AP5
ENSG00000183560,3,1415.0,2.056666666666666,IZUMO1R
ENSG00000259295,3,1415.0,2.056666666666666,CSPG4P12
ENSG00000229816,3,1418.3333333333333,2.0544444444444445,DDX50P1
ENSG00000185198,3,1428.3333333333333,2.0477777777777777,PRSS57
ENSG00000211731,3,1428.6666666666667,2.047555555555556,TRBV5-7
ENSG00000163106,3,1441.6666666666667,2.0388888888888888,HPGDS
ENSG00000234118,3,1442.0,2.038666666666667,RPL13AP6
ENSG00000224281,3,1451.3333333333333,2.0324444444444447,SLC25A5-AS1
ENSG00000235142,3,1454.6666666666667,2.030222222222222,LINC02532
ENSG00000137441,3,1460.3333333333333,2.0264444444444445,FGFBP2
ENSG00000147485,3,1460.3333333333333,2.0264444444444445,PXDNL
ENSG00000009694,3,1464.3333333333333,2.0237777777777777,TENM1
ENSG00000186340,3,1485.0,2.01,THBS2
ENSG00000130635,3,1487.0,2.0086666666666666,COL5A1
ENSG00000164106,3,1488.0,2.008,SCRG1
