gene_symbol,DE_Immune,DE_Malignant,HVG,SpaPROS,scGeneFit,RandomForest,methods_count
HSPA1A,0,0,0,0,0,0,0
S100P,0,0,0,0,0,0,0
LTF,0,0,0,0,0,0,0
C1orf162,0,0,0,0,0,0,0
CRABP2,0,0,0,0,0,0,0
THBS2,0,0,0,0,0,0,0
GZMH,0,0,0,0,0,0,0
KLRB1,0,0,0,0,0,0,0
CD8B,0,0,0,0,0,0,0
NCF1,0,0,0,0,0,0,0
PIP,0,0,0,0,0,0,0
PHGR1,0,0,0,0,0,0,0
LST1,0,0,0,0,0,0,0
CD34,0,0,0,0,0,0,0
ESAM,0,0,0,0,0,0,0
C15orf48,0,0,0,0,0,0,0
LAG3,0,0,0,0,0,0,0
CAV1,0,0,0,0,0,0,0
C3,0,0,0,0,0,0,0
IRF8,0,0,0,0,0,0,0
FBN1,0,0,0,0,0,0,0
PRSS23,0,0,0,0,0,0,0
BANK1,0,0,0,0,0,0,0
COL4A2,0,0,0,0,0,0,0
CHI3L1,0,0,0,0,0,0,0
XCL1,0,0,0,0,0,0,0
CXCL3,0,0,0,0,0,0,0
FSTL1,0,0,0,0,0,0,0
TNFRSF18,0,0,0,0,0,0,0
COL15A1,0,0,0,0,0,0,0
CD83,0,0,0,0,0,0,0
CXCL9,0,0,0,0,0,0,0
CCL19,0,0,0,0,0,0,0
POU2AF1,0,0,0,0,0,0,0
HSP90AA1,0,0,0,0,0,0,0
PLEK,0,0,0,0,0,0,0
CXCL2,0,0,0,0,0,0,0
CAVIN1,0,0,0,0,0,0,0
FDCSP,0,0,0,0,0,0,0
IGHGP,0,0,0,0,0,0,0
CD93,0,0,0,0,0,0,0
HSPA6,0,0,0,0,0,0,0
IGFBP6,0,0,0,0,0,0,0
CD14,0,0,0,0,0,0,0
CYBB,0,0,0,0,0,0,0
CCR7,0,0,0,0,0,0,0
CHGB,0,0,0,0,0,0,0
LY9,0,0,0,0,0,0,0
HLA-DMB,0,0,0,0,0,0,0
HLA-DQA2,0,0,0,0,0,0,0
CD163,0,0,0,0,0,0,0
NNMT,0,0,0,0,0,0,0
CD19,0,0,0,0,0,0,0
CSF1R,0,0,0,0,0,0,0
COL11A1,0,0,0,0,0,0,0
TF,0,0,0,0,0,0,0
LCN2,0,0,0,0,0,0,0
CALCRL,0,0,0,0,0,0,0
SOD3,0,0,0,0,0,0,0
KRT16,0,0,0,0,0,0,0
ELN,0,0,0,0,0,0,0
ROBO4,0,0,0,0,0,0,0
GJA4,0,0,0,0,0,0,0
CDH5,0,0,0,0,0,0,0
AGR3,0,0,0,0,0,0,0
MS4A7,0,0,0,0,0,0,0
MIR155HG,0,0,0,0,0,0,0
MMP7,0,0,0,0,0,0,0
MNDA,0,0,0,0,0,0,0
ZNF683,0,0,0,0,0,0,0
KRT81,0,0,0,0,0,0,0
MSR1,0,0,0,0,0,0,0
TREM2,0,0,0,0,0,0,0
RBP4,0,0,0,0,0,0,0
SELENOP,0,0,0,0,0,0,0
COL2A1,0,0,0,0,0,0,0
JUN,0,0,0,0,0,0,0
CALHM6,0,0,0,0,0,0,0
ADGRF5,0,0,0,0,0,0,0
BTNL9,0,0,0,0,0,0,0
OGN,0,0,0,0,0,0,0
PPDPFL,0,0,0,0,0,0,0
MS4A4A,0,0,0,0,0,0,0
HMOX1,0,0,0,0,0,0,0
VSIG4,0,0,0,0,0,0,0
GABRP,0,0,0,0,0,0,0
ACSM2A,0,0,0,0,0,0,0
SLC11A1,0,0,0,0,0,0,0
FGG,0,0,0,0,0,0,0
FCGR1A,0,0,0,0,0,0,0
TNFRSF17,0,0,0,0,0,0,0
ADH1B,0,0,0,0,0,0,0
SCGB1D2,0,0,0,0,0,0,0
VTN,0,0,0,0,0,0,0
VPREB3,0,0,0,0,0,0,0
MFAP5,0,0,0,0,0,0,0
SCRG1,0,0,0,0,0,0,0
ACAN,0,0,0,0,0,0,0
SCGB1B2P,0,0,0,0,0,0,0
TAT,0,0,0,0,0,0,0
