gene_symbol,ensembl_id_x,category_major,category_minor,methods_present,aggregate_rank,aggregate_score,bio_relevance_score_0to5,rationale_short,spatial_suitability,pct_expr,mean_expr,gini_proxy,ensembl_id_y,aggregate_score_y,DE_Immune,DE_Malignant,HVG,SpaPROS,scGeneFit,RandomForest,methods_count
THY1,ENSG00000154096,Hypoxia_Angiogenesis_EMT_ECM_Vascular,ECM_Fibroblast,,38.0,15.263338964752975,1.8898350895271256,ECM Fibroblast,Yes,9.436957248532764,0.1958271170662166,0.7152218377617627,ENSG00000154096,15.263338964752975,0,0,0,0,0,0,0
PLVAP,ENSG00000130300,Other,Other,,39.0,15.261284197971763,0.8326683771913499,High-ranking informative gene,Yes,3.722246102584421,0.0921725817948015,0.3189099818915885,ENSG00000130300,15.261284197971763,0,0,0,0,0,0,0
TPM2,ENSG00000198467,Other,Other,,40.0,15.25930432249488,1.336670737016622,High-ranking informative gene,Yes,16.27516919938978,0.3130951930408046,1.047299913081834,ENSG00000198467,15.25930432249488,0,0,0,0,0,0,0
GZMA,ENSG00000145649,Other,Other,,41.0,15.25925675289544,1.633269564267286,High-ranking informative gene,Yes,22.409612829092467,0.5202537840829976,1.987928490973269,ENSG00000145649,15.25925675289544,0,0,0,0,0,0,0
CRYAB,ENSG00000109846,Other,Other,,42.0,15.252858083870043,1.305920686180352,High-ranking informative gene,Yes,13.673052556463006,0.2440772582300855,3.014493738932874,ENSG00000109846,15.252858083870043,0,0,0,0,0,0,0
IGKC,ENSG00000211592,Other,Other,,43.0,15.247094331970596,1.6798918778451053,High-ranking informative gene,Yes,17.56498970334971,0.3794344374683602,8.47238349456087,ENSG00000211592,15.247094331970596,0,0,0,0,0,0,0
FN1,ENSG00000115414,Hypoxia_Angiogenesis_EMT_ECM_Vascular,EMT_Epithelial,,44.0,15.247060239061428,2.612603466260081,EMT Epithelial,Yes,22.605431799090297,0.5415716309281318,5.7501813484197575,ENSG00000115414,15.247060239061428,0,0,0,0,0,0,0
MLANA,ENSG00000120215,Other,Other,,45.0,15.24195432500133,0.9626953176617716,High-ranking informative gene,Yes,4.632228374927308,0.0910169678303193,2.978767711888767,ENSG00000120215,15.24195432500133,0,0,0,0,0,0,0
FABP4,ENSG00000170323,Other,Other,,46.0,15.233360977392037,0.9427689620763426,High-ranking informative gene,Yes,5.14017772608382,0.146180686484309,1.615129623930709,ENSG00000170323,15.233360977392037,0,0,0,0,0,0,0
VWF,ENSG00000110799,Hypoxia_Angiogenesis_EMT_ECM_Vascular,Hypoxia_Angiogenesis,,47.0,15.23267170688904,1.6573924668342936,Hypoxia Angiogenesis,Yes,3.681789959571958,0.0896400318976685,0.4181326506823523,ENSG00000110799,15.23267170688904,0,0,0,0,0,0,0
GZMK,ENSG00000113088,Immune_lineage_state,NK_cytotoxic,,48.0,15.223705201138532,2.5335973947914643,NK cytotoxic marker,Yes,17.688043805012626,0.4257518610591975,1.601138797280565,ENSG00000113088,15.223705201138532,0,0,0,0,0,0,0
GZMB,ENSG00000100453,Immune_lineage_state,NK_cytotoxic,,49.0,15.21840804844063,3.585026215768085,NK cytotoxic marker,Yes,14.426548220070174,0.3457525105747055,3.777682978358581,ENSG00000100453,15.21840804844063,0,0,0,0,0,0,0
