gene,score
ENSG00000100867,
ENSG00000242258,
ENSG00000170231,
ENSG00000224631,
ENSG00000118729,
ENSG00000066813,
ENSG00000213886,
ENSG00000160953,
ENSG00000211955,
ENSG00000048462,
ENSG00000069482,
ENSG00000115008,
ENSG00000176919,
ENSG00000116747,
ENSG00000198520,
ENSG00000175426,
ENSG00000112214,
ENSG00000168329,
ENSG00000178363,
ENSG00000211787,
ENSG00000211799,
ENSG00000167476,
ENSG00000211651,
ENSG00000211632,
ENSG00000255717,
ENSG00000233306,
ENSG00000211721,
ENSG00000255733,
ENSG00000100033,
ENSG00000156689,
ENSG00000128242,
ENSG00000176153,
ENSG00000174353,
ENSG00000137745,
ENSG00000142748,
ENSG00000124203,
ENSG00000188508,
ENSG00000182183,
ENSG00000211789,
ENSG00000231475,
ENSG00000183019,
ENSG00000167768,
ENSG00000160181,
ENSG00000163273,
ENSG00000211807,
ENSG00000197253,
ENSG00000211790,
ENSG00000196611,
ENSG00000249978,
ENSG00000223551,
ENSG00000161055,
ENSG00000226660,
ENSG00000187912,
ENSG00000134873,
ENSG00000206172,
ENSG00000137077,
ENSG00000108688,
ENSG00000105141,
ENSG00000164400,
ENSG00000124875,
ENSG00000156076,
ENSG00000165269,
ENSG00000117281,
ENSG00000211777,
ENSG00000010282,
ENSG00000163751,
ENSG00000185559,
ENSG00000211716,
ENSG00000164283,
ENSG00000170523,
ENSG00000163735,
ENSG00000229335,
ENSG00000162384,
ENSG00000268751,
ENSG00000115386,
ENSG00000213442,
ENSG00000148942,
ENSG00000251474,
ENSG00000170419,
ENSG00000278970,
ENSG00000226950,
ENSG00000204054,
ENSG00000134240,
ENSG00000229769,
ENSG00000165828,
ENSG00000149968,
ENSG00000232079,
ENSG00000012504,
ENSG00000154269,
ENSG00000117322,
ENSG00000214510,
ENSG00000211804,
ENSG00000107984,
ENSG00000211792,
ENSG00000157150,
ENSG00000237702,
ENSG00000189001,
ENSG00000211791,
ENSG00000124939,
ENSG00000104760,
ENSG00000167754,
ENSG00000101425,
ENSG00000211817,
ENSG00000154165,
ENSG00000211625,
ENSG00000129988,
ENSG00000211795,
ENSG00000145192,
ENSG00000183395,
ENSG00000228278,
ENSG00000118137,
ENSG00000182885,
ENSG00000277072,
ENSG00000256553,
ENSG00000148702,
ENSG00000134760,
ENSG00000211950,
ENSG00000211778,
ENSG00000173209,
ENSG00000121807,
ENSG00000231799,
ENSG00000211706,
ENSG00000147647,
ENSG00000211745,
ENSG00000236481,
ENSG00000257267,
ENSG00000183542,
ENSG00000129151,
ENSG00000211796,
ENSG00000257017,
ENSG00000091583,
ENSG00000254838,
ENSG00000211801,
ENSG00000226752,
ENSG00000211698,
ENSG00000129455,
ENSG00000210077,
ENSG00000149534,
ENSG00000151365,
ENSG00000211670,
ENSG00000233639,
ENSG00000178828,
ENSG00000248124,
ENSG00000137440,
ENSG00000182487,
ENSG00000211727,
ENSG00000170454,
ENSG00000100604,
ENSG00000224078,
ENSG00000211952,
ENSG00000171759,
ENSG00000145850,
ENSG00000157306,
ENSG00000133636,
ENSG00000184697,
ENSG00000237254,
ENSG00000211710,
